"","NMDS1","NMDS2","date","PERIOD","SEASON","SITE","ID","RELIEF","TRANSECT","PatMin","MesFra","StrPur","MegUnd","DerImb","PisGig","PycHel","SteOsm","LamSpp","MacJuv","LamJuv","EisArb","PteCal","MacPyr","DIST","X_dist","date_diff","days","Vel","X_Vel","MidPt"
"1",0.0319895709800351,-1.31733057914305,1981-04-25,2,"SPRING","WestEnd Urchin","2_10L",18.22,"10L",52,186,33,0,0,1,0,1,0,0,0,0,0,0,0.293139349286537,-0.212827830730833,241,241,0.00121634584766198,-0.000883103032078145,"0.138403486345451"
"2",-0.193650241867284,-1.25812602274797,1981-10-24,3,"FALL","WestEnd Urchin","2_10L",18.22,"10L",92,257,34,0,0,11,0,11,0,10,8,1,0,1,0.233277741415061,-0.225639812847319,182,182,0.00128174583195088,-0.00123977919146879,"-0.0808303354436246"
"3",-0.752088561417624,-0.505082690235356,1982-04-29,4,"SPRING","WestEnd Urchin","2_10L",18.22,"10L",51,203,33,0,1,4,0,27,22,24,0,2,11,3,0.937511395868823,-0.558438319550339,187,187,0.00501342992443221,-0.00298630117406598,"-0.472869401642454"
"4",-0.755472353261085,-0.421233115545976,1982-10-18,5,"FALL","WestEnd Urchin","2_10L",18.22,"10L",13,258,37,0,0,6,0,97,0,15,3,6,1,10,0.0839178242260239,-0.00338379184346127,172,172,0.000487894326895488,-1.96732083922167e-05,"-0.753780457339354"
"5",-0.703130981093358,-0.418385041291343,1983-05-01,6,"SPRING","WestEnd Urchin","2_10L",18.22,"10L",4,181,34,0,0,4,0,59,0,5,41,6,0,2,0.0524188016589507,0.0523413721677271,195,195,0.000268814367481798,0.000268417293167831,"-0.729301667177221"
"6",-0.593280262982562,-0.0792799553215944,1983-09-15,7,"FALL","WestEnd Urchin","2_10L",18.22,"10L",4,212,65,0,0,14,0,69,1,111,0,8,1,4,0.356453979638337,0.109850718110796,137,137,0.00260185386597326,0.000801830059202891,"-0.64820562203796"
"7",0.0529109578370163,-0.897903677058909,1984-10-03,9,"FALL","WestEnd Urchin","2_10L",18.22,"10L",2,194,70,1,0,0,0,169,2,0,0,3,1,1,1.04293235238694,0.646191220819579,384,384,0.00271596966767432,0.00168278963755099,"-0.270184652572773"
"8",0.331966069260919,-0.519490968422421,1985-04-24,10,"SPRING","WestEnd Urchin","2_10L",18.22,"10L",0,220,146,1,0,2,0,120,2,0,0,1,0,0,0.470178618473246,0.279055111423903,203,203,0.00231615082991747,0.00137465572130001,"0.192438513548968"
"9",0.132495541728647,-0.0528601360469289,1985-09-05,11,"FALL","WestEnd Urchin","2_10L",18.22,"10L",0,122,168,0,0,4,0,116,2,0,0,1,0,0,0.507476920733788,-0.199470527532272,134,134,0.00378714119950588,-0.00148858602636024,"0.232230805494783"
"10",0.141738453115866,0.175021771034816,1986-04-18,12,"SPRING","WestEnd Urchin","2_10L",18.22,"10L",0,122,217,7,0,2,0,150,1,2,30,0,0,12,0.228069276725571,0.00924291138721886,225,225,0.00101364122989143,4.10796061654172e-05,"0.137116997422257"
"11",0.139715604935308,0.0967263077816014,1986-10-05,13,"FALL","WestEnd Urchin","2_10L",18.22,"10L",0,151,216,7,0,0,0,106,1,18,3,3,0,22,0.0783215901319491,-0.00202284818055848,170,170,0.000460715236070289,-1.18991069444616e-05,"0.140727029025587"
"12",0.724615967186623,0.0532113457216697,1987-04-24,14,"SPRING","WestEnd Urchin","2_10L",18.22,"10L",2,184,550,2,0,3,0,20,2,8,2,0,0,8,0.586516824724404,0.584900362251315,201,201,0.00291799415285773,0.00290995205100157,"0.432165786060965"
"13",0.603452844618482,0.0197529657535302,1987-10-07,15,"FALL","WestEnd Urchin","2_10L",18.22,"10L",2,151,429,7,0,2,0,40,0,0,0,0,0,6,0.125697913509154,-0.121163122568141,166,166,0.000757216346440687,-0.000729898328723741,"0.664034405902552"
