"","NMDS1","NMDS2","date","PERIOD","SEASON","SITE","ID","TRANSECT","PatMin","MesFra","StrPur","MegUnd","DerImb","PisGig","PycHel","SteOsm","LamSpp","MacJuv","LamJuv","EisArb","PteCal","MacPyr","mean_rug","sd_rug","se_rug","DIST","X_dist","date_diff","days","Vel","X_Vel","MidPt"
"1",0.487978750117466,0.561653143835323,1981-04-25,2,"SPRING","WestEnd Urchin","2_10L","10L",52,186,33,0,0,1,0,1,0,0,0,0,0,0,12.0333333333333,1.24556546730123,0.719127557839668,0.0809331634333335,-0.0313936300214928,241,"241",0.000335822254910097,-0.000130264024985447,"0.503675565128213"
"2",-0.123112987880974,0.445854431479013,1981-10-24,3,"FALL","WestEnd Urchin","2_10L","10L",92,257,34,0,0,11,0,11,0,10,8,1,0,1,12.0333333333333,1.24556546730123,0.719127557839668,0.621966602024042,-0.61109173799844,182,"182",0.00341739891222001,-0.00335764691207934,"0.182432881118246"
"3",-0.325611225041132,0.149516151108533,1982-04-29,4,"SPRING","WestEnd Urchin","2_10L","10L",51,203,33,0,1,4,0,27,22,24,0,2,11,3,12.0333333333333,1.24556546730123,0.719127557839668,0.358917695949789,-0.202498237160158,187,"187",0.00191934596764593,-0.00108287827358373,"-0.224362106461053"
"4",-0.227367835288856,0.218171511454526,1982-10-18,5,"FALL","WestEnd Urchin","2_10L","10L",13,258,37,0,0,6,0,97,0,15,3,6,1,10,12.0333333333333,1.24556546730123,0.719127557839668,0.119855421797496,0.0982433897522751,172,"172",0.00069683384765986,0.000571182498559739,"-0.276489530164994"
"5",-0.207991609859527,0.233974701158445,1983-05-01,6,"SPRING","WestEnd Urchin","2_10L","10L",4,181,34,0,0,4,0,59,0,5,41,6,0,2,12.0333333333333,1.24556546730123,0.719127557839668,0.025003578078072,0.0193762254293299,195,"195",0.000128223477323446,9.93652586119482e-05,"-0.217679722574191"
"6",-0.186497460649126,0.233002955619661,1983-09-15,7,"FALL","WestEnd Urchin","2_10L","10L",4,212,65,0,0,14,0,69,1,111,0,8,1,4,12.0333333333333,1.24556546730123,0.719127557839668,0.0215161041936289,0.0214941492104003,137,"137",0.000157051855427948,0.000156891600075915,"-0.197244535254326"
"7",0.110513815652173,-0.250739090581711,1984-10-03,9,"FALL","WestEnd Urchin","2_10L","10L",2,194,70,1,0,0,0,169,2,0,0,3,1,1,12.0333333333333,1.24556546730123,0.719127557839668,0.567646074163486,0.2970112763013,384,"384",0.00147824498480074,0.000773466865367969,"-0.0379918224984764"
"8",0.270725151649317,-0.184555457343122,1985-04-24,10,"SPRING","WestEnd Urchin","2_10L","10L",0,220,146,1,0,2,0,120,2,0,0,1,0,0,12.0333333333333,1.24556546730123,0.719127557839668,0.173343432210885,0.160211335997144,203,"203",0.000853908533058547,0.000789218403926818,"0.190619483650745"
"9",0.268027851143911,-0.111725120353729,1985-09-05,11,"FALL","WestEnd Urchin","2_10L","10L",0,122,168,0,0,4,0,116,2,0,0,1,0,0,12.0333333333333,1.24556546730123,0.719127557839668,0.0728802676724294,-0.00269730050540568,134,"134",0.000543882594570369,-2.01291082492961e-05,"0.269376501396614"
"10",0.041893369251501,-0.11535594653355,1986-04-18,12,"SPRING","WestEnd Urchin","2_10L","10L",0,122,217,7,0,2,0,150,1,2,30,0,0,12,12.0333333333333,1.24556546730123,0.719127557839668,0.226163628374451,-0.22613448189241,225,"225",0.00100517168166423,-0.00100504214174404,"0.154960610197706"
